x-axis,1,2,3
second,Volt,Volt,Volt
-100.0000E-09,+1.5246231295168E+00,+2.6005652984604E+00,+24.5226128027E-03
-99.6875E-09,+1.6452261433005E+00,+2.6005652984604E+00,+25.3266328946E-03
-99.3750E-09,+1.6854271478951E+00,+2.6231783635449E+00,+24.8743715929E-03
-99.0625E-09,+1.7306532780640E+00,+2.6407663030550E+00,+24.5226128027E-03
-98.7500E-09,+1.7658291570842E+00,+2.7211683122441E+00,+24.9246228486E-03
-98.4375E-09,+1.8864321708679E+00,+2.6407663030550E+00,+26.1306529865E-03
-98.1250E-09,+1.8864321708679E+00,+2.6809673076496E+00,+26.9346730784E-03
-97.8125E-09,+1.9668341800570E+00,+2.6809673076496E+00,+27.1105524735E-03
-97.5000E-09,+2.0045226218645E+00,+2.6809673076496E+00,+27.3366831243E-03
-97.1875E-09,+2.0472361892462E+00,+2.7211683122441E+00,+28.5427132621E-03
-96.8750E-09,+2.1276381984353E+00,+2.6809673076496E+00,+27.7386931702E-03
-96.5625E-09,+2.1678392030299E+00,+2.6809673076496E+00,+27.9648238211E-03
-96.2500E-09,+2.2155778959859E+00,+2.6633793681394E+00,+28.1407032162E-03
-95.9375E-09,+2.2482412122190E+00,+2.6407663030550E+00,+28.9447233081E-03
-95.6250E-09,+2.2884422168136E+00,+2.6809673076496E+00,+29.3467333540E-03
-95.3125E-09,+2.3688442260027E+00,+2.6809673076496E+00,+30.1507534459E-03
-95.0000E-09,+2.3688442260027E+00,+2.6382537402678E+00,+30.3266328410E-03
-94.6875E-09,+2.3889447283000E+00,+2.6005652984604E+00,+30.5527634919E-03
-94.3750E-09,+2.4090452305973E+00,+2.6407663030550E+00,+31.3567835838E-03
-94.0625E-09,+2.4894472397864E+00,+2.5603642938659E+00,+31.3567835838E-03
-93.7500E-09,+2.5296482443809E+00,+2.6005652984604E+00,+30.5527634919E-03
-93.4375E-09,+2.5698492489755E+00,+2.5829773589503E+00,+30.2261303295E-03
-93.1250E-09,+2.5849246256985E+00,+2.5603642938659E+00,+29.7487434000E-03
-92.8125E-09,+2.6100502535701E+00,+2.5201632892713E+00,+28.1407032162E-03
-92.5000E-09,+2.6502512581646E+00,+2.5201632892713E+00,+24.5226128027E-03
-92.1875E-09,+2.7306532673538E+00,+2.4975502241869E+00,+26.2060298701E-03
-91.8750E-09,+2.7080402022693E+00,+2.4799622846767E+00,+27.7386931702E-03
-91.5625E-09,+2.6904522627592E+00,+2.4799622846767E+00,+32.9648237675E-03
-91.2500E-09,+2.7708542719483E+00,+2.4397612800822E+00,+34.9748739973E-03
-90.9375E-09,+2.7708542719483E+00,+2.3995602754876E+00,+32.1608036757E-03
-90.6250E-09,+2.8512562811374E+00,+2.4347361545078E+00,+31.6331654903E-03
-90.3125E-09,+2.8512562811375E+00,+2.4799622846767E+00,+30.9547735378E-03
-90.0000E-09,+2.8512562811375E+00,+2.3593592708931E+00,+31.7587936297E-03
-89.6875E-09,+2.8914572857320E+00,+2.3191582662985E+00,+33.7688438594E-03
-89.3750E-09,+2.9316582903266E+00,+2.3191582662985E+00,+33.7688438594E-03
-89.0625E-09,+2.9316582903266E+00,+2.3191582662985E+00,+33.7688438594E-03
-88.7500E-09,+2.9316582903266E+00,+2.3191582662985E+00,+34.1708539054E-03
-88.4375E-09,+2.9316582903266E+00,+2.2387562571094E+00,+34.5728639513E-03
-88.1250E-09,+3.0120602995157E+00,+2.1985552525148E+00,+33.7688438594E-03
-87.8125E-09,+3.0120602995157E+00,+2.1784547502175E+00,+33.3919594414E-03
-87.5000E-09,+3.0120602995157E+00,+2.1583542479202E+00,+32.9648237675E-03
-87.1875E-09,+3.0120602995157E+00,+2.1181532433257E+00,+32.1608036757E-03
-86.8750E-09,+3.0924623087048E+00,+2.0779522387311E+00,+32.9648237675E-03
-86.5625E-09,+3.0522613041103E+00,+1.9975502295420E+00,+32.9648237675E-03
-86.2500E-09,+3.0748743691947E+00,+1.9975502295420E+00,+32.9648237675E-03
-85.9375E-09,+3.0924623087049E+00,+1.9975502295420E+00,+32.9648237675E-03
-85.6250E-09,+3.0924623087049E+00,+1.9171482203529E+00,+32.9648237675E-03
-85.3125E-09,+3.1326633132994E+00,+1.9171482203528E+00,+32.9648237675E-03
-85.0000E-09,+3.1326633132994E+00,+1.8744346529711E+00,+32.5628137216E-03
-84.6875E-09,+3.1527638155967E+00,+1.8367462111637E+00,+32.1608036757E-03
-84.3750E-09,+3.1728643178940E+00,+1.7965452065692E+00,+31.7587936297E-03
-84.0625E-09,+3.1728643178940E+00,+1.7965452065691E+00,+31.3567835838E-03
-83.7500E-09,+3.1326633132994E+00,+1.7563442019746E+00,+31.7587936297E-03
-83.4375E-09,+3.2130653224885E+00,+1.7387562624645E+00,+31.5829142346E-03
-83.1250E-09,+3.1954773829784E+00,+1.7161431973800E+00,+31.3567835838E-03
