x-axis,3,D0-D7,D8-D15
second,Volt,,
-100.0000E-09,+176.8844202161E-03,51,4
-99.8000E-09,+176.8844202161E-03,51,4
-99.6000E-09,+176.8844202161E-03,51,4
-99.4000E-09,+176.8844202161E-03,51,4
-99.2000E-09,+184.9246211350E-03,51,4
-99.0000E-09,+184.9246211350E-03,51,4
-98.8000E-09,+192.9648220539E-03,51,4
-98.6000E-09,+184.9246211350E-03,51,4
-98.4000E-09,+192.9648220539E-03,51,4
-98.2000E-09,+201.0050229728E-03,51,4
-98.0000E-09,+201.0050229728E-03,51,4
-97.8000E-09,+217.0854248106E-03,51,4
-97.6000E-09,+217.0854248106E-03,51,4
-97.4000E-09,+217.0854248106E-03,51,4
-97.2000E-09,+217.0854248107E-03,51,4
-97.0000E-09,+233.1658266485E-03,51,4
-96.8000E-09,+241.2060275674E-03,51,4
-96.6000E-09,+249.2462284863E-03,51,4
-96.4000E-09,+249.2462284863E-03,51,4
-96.2000E-09,+249.2462284863E-03,51,4
-96.0000E-09,+257.2864294052E-03,51,4
-95.8000E-09,+265.3266303241E-03,51,4
-95.6000E-09,+257.2864294052E-03,51,4
-95.4000E-09,+265.3266303241E-03,51,4
-95.2000E-09,+257.2864294052E-03,51,4
-95.0000E-09,+265.3266303241E-03,51,4
-94.8000E-09,+241.2060275674E-03,51,4
-94.6000E-09,+225.1256257296E-03,51,4
-94.4000E-09,+217.0854248106E-03,51,4
-94.2000E-09,+217.0854248106E-03,51,4
-94.0000E-09,+217.0854248106E-03,51,4
-93.8000E-09,+209.0452238917E-03,51,4
-93.6000E-09,+176.8844202161E-03,51,4
-93.4000E-09,+184.9246211350E-03,51,4
-93.2000E-09,+217.0854248107E-03,51,4
-93.0000E-09,+273.3668312430E-03,51,4
-92.8000E-09,+297.4874339998E-03,51,4
-92.6000E-09,+297.4874339998E-03,48,4
-92.4000E-09,+265.3266303241E-03,48,4
-92.2000E-09,+241.2060275674E-03,48,4
-92.0000E-09,+209.0452238917E-03,48,0
-91.8000E-09,+184.9246211350E-03,48,0
-91.6000E-09,+201.0050229728E-03,48,0
-91.4000E-09,+265.3266303241E-03,48,32
-91.2000E-09,+313.5678358376E-03,48,32
-91.0000E-09,+337.6884385943E-03,48,32
-90.8000E-09,+321.6080367565E-03,48,32
-90.6000E-09,+329.6482376754E-03,48,32
-90.4000E-09,+321.6080367565E-03,48,32
-90.2000E-09,+313.5678358376E-03,48,32
-90.0000E-09,+297.4874339998E-03,48,32
-89.8000E-09,+297.4874339998E-03,52,32
-89.6000E-09,+305.5276349187E-03,52,32
-89.4000E-09,+305.5276349187E-03,52,32
-89.2000E-09,+313.5678358376E-03,52,32
-89.0000E-09,+321.6080367565E-03,52,32
-88.8000E-09,+313.5678358376E-03,52,32
-88.6000E-09,+321.6080367565E-03,52,32
-88.4000E-09,+297.4874339998E-03,52,32
-88.2000E-09,+281.4070321620E-03,180,32
-88.0000E-09,+297.4874339998E-03,180,32
-87.8000E-09,+313.5678358376E-03,180,32
-87.6000E-09,+329.6482376754E-03,188,32
-87.4000E-09,+329.6482376754E-03,188,32
-87.2000E-09,+321.6080367565E-03,188,32
-87.0000E-09,+321.6080367565E-03,188,32
-86.8000E-09,+321.6080367565E-03,188,32
-86.6000E-09,+321.6080367565E-03,188,32
-86.4000E-09,+305.5276349187E-03,188,0
-86.2000E-09,+313.5678358376E-03,188,0
-86.0000E-09,+297.4874339998E-03,188,0
-85.8000E-09,+281.4070321619E-03,188,0
-85.6000E-09,+241.2060275674E-03,188,0
-85.4000E-09,+225.1256257296E-03,188,0
-85.2000E-09,+209.0452238918E-03,188,0
-85.0000E-09,+265.3266303242E-03,188,4
-84.8000E-09,+329.6482376755E-03,188,4
-84.6000E-09,+377.8894431889E-03,188,4
-84.4000E-09,+377.8894431889E-03,188,4
-84.2000E-09,+329.6482376754E-03,188,4
-84.0000E-09,+265.3266303241E-03,188,4
-83.8000E-09,+241.2060275674E-03,188,4
-83.6000E-09,+249.2462284863E-03,188,4
-83.4000E-09,+257.2864294052E-03,188,4
-83.2000E-09,+281.4070321620E-03,188,4
-83.0000E-09,+281.4070321620E-03,188,4
-82.8000E-09,+297.4874339998E-03,188,4
-82.6000E-09,+321.6080367565E-03,188,4
-82.4000E-09,+321.6080367565E-03,188,4
-82.2000E-09,+321.6080367565E-03,188,4
-82.0000E-09,+305.5276349187E-03,188,4
-81.8000E-09,+297.4874339998E-03,188,4
-81.6000E-09,+305.5276349187E-03,188,4
-81.4000E-09,+305.5276349187E-03,188,4
-81.2000E-09,+305.5276349187E-03,188,4
-81.0000E-09,+305.5276349187E-03,188,4
-80.8000E-09,+297.4874339998E-03,188,4
-80.6000E-09,+297.4874339998E-03,188,4
-80.4000E-09,+313.5678358376E-03,188,4
-80.2000E-09,+297.4874339998E-03,188,4
-80.0000E-09,+289.4472330809E-03,188,4
-79.8000E-09,+289.4472330809E-03,188,4
-79.6000E-09,+297.4874339998E-03,188,4
-79.4000E-09,+305.5276349187E-03,188,4
-79.2000E-09,+305.5276349187E-03,188,4
-79.0000E-09,+321.6080367565E-03,188,4
