Qty;Value;Device;Package;Parts;Description
1;;PINHD-1X1;1X01;JP2;PIN HEADER
1;;PINHD-1X3;1X03;JP1;PIN HEADER
1;;PINHD-2X13;2X13;JP3;PIN HEADER
4;0R;R-EU_R0603;R0603;R19, R24, R27, R28;RESISTOR, European symbol
2;0R-JUMPA;0R-JUMPA;A0R-JMP;JMP1, JMP2;SMD 0R 0805 Jumper
3;100R;CTS742C083;EXB38V;RN1, RN2, RN3;Chip Resistor Array 4 Single Resistor
2;100R;R-EU_R0603;R0603;R6, R21;RESISTOR, European symbol
2;100k;R-EU_R0603;R0603;R13, R14;RESISTOR, European symbol
15;100n;C-EUC0603K;C0603K;C4, C5, C10, C11, C12, C13, C14, C15, C16, C18, C23, C26, C27, C30, C31;CAPACITOR, European symbol
2;10R;R-EU_R0603;R0603;R2, R10;RESISTOR, European symbol
1;10k;R-EU_R0603;R0603;R12;RESISTOR, European symbol
2;10n;C-EUC0603K;C0603K;C22, C24;CAPACITOR, European symbol
5;10u;C-EUC1206;C1206;C6, C8, C28, C29, C32;CAPACITOR, European symbol
1;1M;R-EU_R0603;R0603;R7;RESISTOR, European symbol
2;1u;C-EUC0805;C0805;C3, C9;CAPACITOR, European symbol
2;2.2u;C-EUC0805;C0805;C17, C21;CAPACITOR, European symbol
1;2.4k;R-EU_R0603;R0603;R5;RESISTOR, European symbol
1;20k;R-EU_R0603;R0603;R11;RESISTOR, European symbol
1;20p;C-EUC0603K;C0603K;C1;CAPACITOR, European symbol
1;270R 0.1%;R-EU_R0603;R0603;R16;RESISTOR, European symbol
1;300R 0.1%;R-EU_R0603;R0603;R17;RESISTOR, European symbol
1;4.7R 0.1%;R-EU_R0603;R0603;R18;RESISTOR, European symbol
2;40R;R-EU_R0603;R0603;R3, R4;RESISTOR, European symbol
1;40p;C-EUC0603K;C0603K;C20;CAPACITOR, European symbol
1;430R;R-EU_R0603;R0603;R1;RESISTOR, European symbol
1;50R 0.1%;R-EU_R0603;R0603;R9;RESISTOR, European symbol
2;51p;C-EUC0603K;C0603K;C7, C25;CAPACITOR, European symbol
2;560R 0.1%;R-EU_R0603;R0603;R22, R23;RESISTOR, European symbol
2;5p;C-EUC0603K;C0603K;C2, C19;CAPACITOR, European symbol
1;910R;R-EU_R0603;R0603;R20;RESISTOR, European symbol
1;AD9235BC;AD9235BC;LFCSP32;IC1;12 Bit A/D - Wandler (Analog)
1;DNP;R-EU_R0603;R0603;R15;RESISTOR, European symbol
1;LT1521XST;LT1521XST;SOT223;IC5;
1;LT5400-4;LT5400;MS8E;RN4;
1;LT6600-15;LT6600-15;S8;IC2;Very Low Noise, Differential Amplifier and 15MHz Lowpass Filter
1;LTC6254XMS;LTC6254XMS;MSOP16;IC3;
2;SMA-142-0701-851/861;SMA-142-0701-851/861;J502-ND-142-0701-851/861;X1, X2;SMA 50 Ohm End Launch Jack Receptacle - Round Contact
2;SN74LVC2G14DBV;SN74LVC2G14DBV;SOT23-6;IC4, IC6;
